"Data Source","Indicateurs du développement dans le monde",

"Last Updated Date","2023-12-18",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Bahamas","BHS","Indice de la facilité de faire des affaires (1=réglementations les plus favorables aux entreprises)","IC.BUS.EASE.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","119","","","",
"Bosnie-Herzégovine","BIH","Indice de la facilité de faire des affaires (1=réglementations les plus favorables aux entreprises)","IC.BUS.EASE.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","90","","","",
"Bélarus","BLR","Indice de la facilité de faire des affaires (1=réglementations les plus favorables aux entreprises)","IC.BUS.EASE.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","49","","","",
"Belize","BLZ","Indice de la facilité de faire des affaires (1=réglementations les plus favorables aux entreprises)","IC.BUS.EASE.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","135","","","",
"Bermudes","BMU","Indice de la facilité de faire des affaires (1=réglementations les plus favorables aux entreprises)","IC.BUS.EASE.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivie","BOL","Indice de la facilité de faire des affaires (1=réglementations les plus favorables aux entreprises)","IC.BUS.EASE.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","150","","","",
"Brésil","BRA","Indice de la facilité de faire des affaires (1=réglementations les plus favorables aux entreprises)","IC.BUS.EASE.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","124","","","",
"Barbade","BRB","Indice de la facilité de faire des affaires (1=réglementations les plus favorables aux entreprises)","IC.BUS.EASE.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","128","","","",
"Brunéi Darussalam","BRN","Indice de la facilité de faire des affaires (1=réglementations les plus favorables aux entreprises)","IC.BUS.EASE.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","66","","","",
"Bhoutan","BTN","Indice de la facilité de faire des affaires (1=réglementations les plus favorables aux entreprises)","IC.BUS.EASE.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","89","","","",
