"Data Source","Indicateurs du développement dans le monde",

"Last Updated Date","2023-12-18",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Botswana","BWA","Trafic de conteneurs dans les ports (TEU : unités équivalents 20 pieds)","IS.SHP.GOOD.TU","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"République centrafricaine","CAF","Trafic de conteneurs dans les ports (TEU : unités équivalents 20 pieds)","IS.SHP.GOOD.TU","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Canada","CAN","Trafic de conteneurs dans les ports (TEU : unités équivalents 20 pieds)","IS.SHP.GOOD.TU","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2927942","2890388","3307310","3631072","3926147","4163424","4330163","4413927","4720663","4191568.063","4670790","4735750","5125601","5260202","5447571","5828525","5727822","6377236","6763247","7000133","6298023","7169607","",
"Europe centrale et les pays baltes","CEB","Trafic de conteneurs dans les ports (TEU : unités équivalents 20 pieds)","IS.SHP.GOOD.TU","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3499057","3745827","2439520","2938187","3804520","4230152","4639965","4965568","4732259","5076244","5661145","6497688","6676076","6445797","6758101","",
"Suisse","CHE","Trafic de conteneurs dans les ports (TEU : unités équivalents 20 pieds)","IS.SHP.GOOD.TU","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","104366","92464","78285","99048","93371","102240","104945","104482","102916","114498","119231","119133","121366","114075","","",
"Îles Anglo-Normandes","CHI","Trafic de conteneurs dans les ports (TEU : unités équivalents 20 pieds)","IS.SHP.GOOD.TU","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chili","CHL","Trafic de conteneurs dans les ports (TEU : unités équivalents 20 pieds)","IS.SHP.GOOD.TU","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1253131","1080545","1167880","1250126","1658672","1804236","2126811","2725218","3164137","2795990.2016","3144442","3432192","3514318","3853407","3956160","3956842","4156972","4407502","4661306","4647086","4217191","4582798","",
"Chine","CHN","Trafic de conteneurs dans les ports (TEU : unités équivalents 20 pieds)","IS.SHP.GOOD.TU","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","41000000","44726084","55717488","61898336","74725444","67245263","84810503","103823024","115941970","108799933.7248","140552400","156454877","170058384","181300944","192333713","199839517","207160932","224117874","234618700","243560000","246040000","262605700","",
"Côte d'Ivoire","CIV","Trafic de conteneurs dans les ports (TEU : unités équivalents 20 pieds)","IS.SHP.GOOD.TU","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","434422","543845","579060","612546","670000","710000","","590306","713625","677029","717700","766071","880104","983188","991767","927379","885750","907646","924596","994646","988459","1015624","",
"Cameroun","CMR","Trafic de conteneurs dans les ports (TEU : unités équivalents 20 pieds)","IS.SHP.GOOD.TU","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","217681","270000","245538","290000","333834","351099","339268","333555","379915","370000","386367","387000","370685","366667","","",
